sample,total_reads,pathogen,n_reads,order,relative_abundance,median_prevalence,lower_ci,upper_ci,median_incidence,lower_ci_incidence,upper_ci_incidence,ra_1_incidence_median,ra_1_incidence_lower_ci,ra_1_incidence_upper_ci,ra_1_prevalence_median,ra_1_prevalence_lower_ci,ra_1_prevalence_upper_ci
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,RSV-A,5,zeroth,5.50E-09,0.001934935074,0.0001122431619,0.009659003523,0.002714160829,0.0001571580666,0.01365449374,2.03E-08,3.50E-07,4.03E-09,2.84E-08,4.90E-07,5.70E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,RSV-B,0,zeroth,0,0.001869861539,0.0001114838271,0.009064567581,0.00262271026,0.00015609476,0.01280647981,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A,0,zeroth,0,0.006108203405,0.001670418487,0.01662606578,0.006145742852,0.001673213453,0.01690716543,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A1,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A12,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A24,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A40,3,zeroth,3.30E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A54,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A80,4,zeroth,4.40E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus B103,2,zeroth,2.20E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus B3,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C,7,zeroth,7.70E-09,0.008924457862,0.002955008933,0.02217761006,0.009004821008,0.00296376689,0.02268061182,8.56E-09,2.60E-08,3.40E-09,8.63E-09,2.61E-08,3.47E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C1,3,zeroth,3.30E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C11,24,zeroth,2.64E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C19,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C2,3,zeroth,3.30E-09,0.001929117964,0.0001121775473,0.009603031078,0.001932846653,0.0001121901326,0.009696143445,1.71E-08,2.94E-07,3.41E-09,1.71E-08,2.94E-07,3.44E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C20,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C3,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C34,2,zeroth,2.20E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C36,0,zeroth,0,0.001934935074,0.0001122431619,0.009659003523,0.001938686306,0.0001122557618,0.009753209811,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C4,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C44,2,zeroth,2.20E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C55,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C56,6,zeroth,6.60E-09,0.001891504485,0.0001117426589,0.009254772497,0.001895089054,0.0001117551467,0.009341223394,3.48E-08,5.91E-07,7.07E-09,3.49E-08,5.91E-07,7.14E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C7,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C8,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Severe acute respiratory syndrome coronavirus 2,108,zeroth,1.19E-07,0.001929117964,0.0001121775473,0.009603031078,0.002254987762,0.000130888488,0.01131216735,5.27E-07,9.08E-06,1.05E-07,6.16E-07,1.06E-05,1.24E-07
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Influenza B,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Influenza A,23,first,2.53E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HMPV-1,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HPIV1,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HPIV2,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HPIV4b,0,first,0,0.001904443786,0.0001118943692,0.009371970856,0.002671308658,0.0001566696473,0.01324488992,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HCoV-229E,11,first,1.21E-08,0.001934935074,0.0001122431619,0.009659003523,0.002261800691,0.0001309650555,0.01137874478,5.35E-08,9.24E-07,1.06E-08,6.26E-08,1.08E-06,1.25E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HCoV-HKU1,3,first,3.30E-09,0.001884215771,0.0001116562078,0.009189915365,0.002202401533,0.0001302801223,0.01082101211,1.50E-08,2.53E-07,3.05E-09,1.75E-08,2.96E-07,3.59E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HCoV-NL63,6,first,6.60E-09,0.009212865442,0.003004605205,0.02333696846,0.01084828682,0.003515936741,0.02787702853,6.09E-09,1.88E-08,2.37E-09,7.17E-09,2.20E-08,2.83E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,HCoV-OC43,48,first,5.28E-08,0.012246817,0.004579388487,0.02874023218,0.01446510466,0.005367198388,0.03452245423,3.65E-08,9.84E-08,1.53E-08,4.31E-08,1.15E-07,1.84E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,RSV-A,5,first,5.50E-09,0.001934935074,0.0001122431619,0.009659003523,0.002714160829,0.0001571580666,0.01365449374,2.03E-08,3.50E-07,4.03E-09,2.84E-08,4.90E-07,5.70E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,RSV-B,0,first,0,0.001869861539,0.0001114838271,0.009064567581,0.00262271026,0.00015609476,0.01280647981,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus A,7,first,7.70E-09,0.006108203405,0.001670418487,0.01662606578,0.006145742852,0.001673213453,0.01690716543,1.25E-08,4.60E-08,4.56E-09,1.26E-08,4.61E-08,4.63E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus B,2,first,2.20E-09,0.001904443786,0.0001118943692,0.009371970856,0.001908077613,0.000111906891,0.009460635658,1.15E-08,1.97E-07,2.33E-09,1.16E-08,1.97E-07,2.35E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinovirus C,47,first,5.17E-08,0.008924457862,0.002955008933,0.02217761006,0.009004821008,0.00296376689,0.02268061182,5.74E-08,1.75E-07,2.28E-08,5.80E-08,1.75E-07,2.33E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,SARS-CoV-2,108,first,1.19E-07,0.001929117964,0.0001121775473,0.009603031078,0.002254987762,0.000130888488,0.01131216735,5.27E-07,9.08E-06,1.05E-07,6.16E-07,1.06E-05,1.24E-07
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Influenza,23,second,2.53E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Mononegavirales,5,second,5.50E-09,0.006243150105,0.001687792266,0.01722822615,0.008795320654,0.002366904015,0.02454233756,6.26E-09,2.33E-08,2.24E-09,8.82E-09,3.26E-08,3.19E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Coronaviruses (seasonal),68,second,7.48E-08,0.02015227847,0.008860599479,0.04382953041,0.02399453613,0.01042978016,0.05347838462,3.12E-08,7.18E-08,1.40E-08,3.71E-08,8.45E-08,1.71E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Rhinoviruses,56,second,6.16E-08,0.01838390883,0.008374619585,0.03794445077,0.01872820647,0.008445346146,0.03944101855,3.29E-08,7.30E-08,1.56E-08,3.35E-08,7.36E-08,1.62E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R2-A1_S30,908526730,Coronaviruses (SARS-CoV-2),108,second,1.19E-07,0.001929117964,0.0001121775473,0.009603031078,0.002254987762,0.000130888488,0.01131216735,5.27E-07,9.08E-06,1.05E-07,6.16E-07,1.06E-05,1.24E-07
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Flu B,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,H1N1,8,zeroth,1.26E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,H3N2,14,zeroth,2.20E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HMPV-1,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HPIV1,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HPIV2,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HPIV4b,2,zeroth,3.15E-09,0.001904443786,0.0001118943692,0.009371970856,0.002671308658,0.0001566696473,0.01324488992,1.18E-08,2.01E-07,2.38E-09,1.65E-08,2.81E-07,3.36E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Human coronavirus 229E,25,zeroth,3.94E-08,0.001934935074,0.0001122431619,0.009659003523,0.002261800691,0.0001309650555,0.01137874478,1.74E-07,3.01E-06,3.46E-08,2.03E-07,3.51E-06,4.07E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Human coronavirus HKU1,2,zeroth,3.15E-09,0.001884215771,0.0001116562078,0.009189915365,0.002202401533,0.0001302801223,0.01082101211,1.43E-08,2.42E-07,2.91E-09,1.67E-08,2.82E-07,3.43E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Human coronavirus NL63,8,zeroth,1.26E-08,0.009212865442,0.003004605205,0.02333696846,0.01084828682,0.003515936741,0.02787702853,1.16E-08,3.58E-08,4.52E-09,1.37E-08,4.19E-08,5.40E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Human coronavirus OC43,84,zeroth,1.32E-07,0.012246817,0.004579388487,0.02874023218,0.01446510466,0.005367198388,0.03452245423,9.14E-08,2.46E-07,3.83E-08,1.08E-07,2.89E-07,4.60E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,RSV-A,15,zeroth,2.36E-08,0.001934935074,0.0001122431619,0.009659003523,0.002714160829,0.0001571580666,0.01365449374,8.70E-08,1.50E-06,1.73E-08,1.22E-07,2.10E-06,2.44E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,RSV-B,0,zeroth,0,0.001869861539,0.0001114838271,0.009064567581,0.00262271026,0.00015609476,0.01280647981,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A,1,zeroth,1.57E-09,0.006108203405,0.001670418487,0.01662606578,0.006145742852,0.001673213453,0.01690716543,2.56E-09,9.41E-09,9.31E-10,2.58E-09,9.42E-09,9.47E-10
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A1,1,zeroth,1.57E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A12,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A24,2,zeroth,3.15E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A40,2,zeroth,3.15E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A54,1,zeroth,1.57E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus A80,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus B103,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus B3,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C,12,zeroth,1.89E-08,0.008924457862,0.002955008933,0.02217761006,0.009004821008,0.00296376689,0.02268061182,2.10E-08,6.37E-08,8.33E-09,2.12E-08,6.39E-08,8.52E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C1,6,zeroth,9.45E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C11,22,zeroth,3.46E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C19,2,zeroth,3.15E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C2,0,zeroth,0,0.001929117964,0.0001121775473,0.009603031078,0.001932846653,0.0001121901326,0.009696143445,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C20,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C3,5,zeroth,7.87E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C34,1,zeroth,1.57E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C36,0,zeroth,0,0.001934935074,0.0001122431619,0.009659003523,0.001938686306,0.0001122557618,0.009753209811,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C4,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C44,4,zeroth,6.30E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C55,2,zeroth,3.15E-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C56,0,zeroth,0,0.001891504485,0.0001117426589,0.009254772497,0.001895089054,0.0001117551467,0.009341223394,0,0,0,0,0,0
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C7,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Rhinovirus C8,0,zeroth,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Severe acute respiratory syndrome coronavirus 2,162,zeroth,2.55E-07,0.001929117964,0.0001121775473,0.009603031078,0.002254987762,0.000130888488,0.01131216735,1.13E-06,1.95E-05,2.25E-07,1.32E-06,2.27E-05,2.66E-07
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Influenza B,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,Influenza A,22,first,3.46E-08,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HMPV-1,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HPIV1,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HPIV2,0,first,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HPIV4b,2,first,3.15E-09,0.001904443786,0.0001118943692,0.009371970856,0.002671308658,0.0001566696473,0.01324488992,1.18E-08,2.01E-07,2.38E-09,1.65E-08,2.81E-07,3.36E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HCoV-229E,25,first,3.94E-08,0.001934935074,0.0001122431619,0.009659003523,0.002261800691,0.0001309650555,0.01137874478,1.74E-07,3.01E-06,3.46E-08,2.03E-07,3.51E-06,4.07E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HCoV-HKU1,2,first,3.15E-09,0.001884215771,0.0001116562078,0.009189915365,0.002202401533,0.0001302801223,0.01082101211,1.43E-08,2.42E-07,2.91E-09,1.67E-08,2.82E-07,3.43E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HCoV-NL63,8,first,1.26E-08,0.009212865442,0.003004605205,0.02333696846,0.01084828682,0.003515936741,0.02787702853,1.16E-08,3.58E-08,4.52E-09,1.37E-08,4.19E-08,5.40E-09
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,HCoV-OC43,84,first,1.32E-07,0.012246817,0.004579388487,0.02874023218,0.01446510466,0.005367198388,0.03452245423,9.14E-08,2.46E-07,3.83E-08,1.08E-07,2.89E-07,4.60E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,RSV-A,15,first,2.36E-08,0.001934935074,0.0001122431619,0.009659003523,0.002714160829,0.0001571580666,0.01365449374,8.70E-08,1.50E-06,1.73E-08,1.22E-07,2.10E-06,2.44E-08
NAO-BCL-2025-03-03-22LMLMLT4_7_2148377295_DITP-20250212-North-R1-A1_S29,635175667,RSV-B,0,first,0,0.001869861539,0.0001114838271,0.009064567581,0.00262271026,0.00015609476,0.01280647981,0,0,0,0,0,0
